# FLEXIBILITY PARAMETER SCAN
# FBA model ../../ModelFiles/ecFBA/reducedEcYeast_modified_withDamage.mat
# parsimonious solution false
# Boolean model ../../ModelFiles/Boolean/rules.txt, ../../ModelFiles/Boolean/species.txt
# TF layer ../../ModelFiles/Boolean/TFtargets.txt
# basal damage formation f0 = 0.0001
# basal damage repair r0 = 0.0005
objective	flexibility 1	flexibility 2	regulation factor	rls	average generation time	time phase 1	rls phase 1	damage phase 1	time phase 2	rls phase 2	damage phase 2	time phase 3	rls phase 3	damage phase 3	status
ATPProduction (MAX)	0.3	0.05	0.02	4	21.10000000000021	99.9999999999986	4.0	0.008281688404652347	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.3	0.05	0.02	12	1.2727272727272696	10.999999999999977	9.0	0.11717965054481291	6.099999999999994	3.0	0.2569552913766103	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.3	0.05	0.02	0	0.0	99.9999999999986	0.0	0.13478579483370742	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.3	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006125743813118173	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.3	0.05	0.02	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.3	0.05	0.04	9	10.549999999999935	99.9999999999986	9.0	0.019748551514854135	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.3	0.05	0.04	16	1.3066666666666673	16.09999999999996	13.0	0.13196346899994177	9.89999999999998	3.0	0.288896026576771	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.3	0.05	0.04	0	0.0	99.9999999999986	0.0	0.13295019695055083	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.3	0.05	0.04	1	NaN	99.9999999999986	1.0	0.006246274780050009	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.3	0.05	0.04	4	24.566666666666695	99.9999999999986	4.0	0.00891131197133223	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.35	0.05	0.0	0	0.0	99.9999999999986	0.0	0.0051940094973314125	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.35	0.05	0.0	17	1.2750000000000012	17.399999999999977	14.0	0.12273103267970883	6.8999999999999915	3.0	0.269025808840053	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.35	0.05	0.0	0	0.0	99.9999999999986	0.0	0.14197824109787643	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.35	0.05	0.0	1	NaN	99.9999999999986	1.0	0.006110759205471478	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NGAM (MAX)	0.35	0.05	0.0	0	0.0	99.9999999999986	0.0	0.004486376427383074	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX)	0.35	0.05	0.02	4	21.00000000000021	99.9999999999986	4.0	0.008263558937269063	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + growth (MAX)	0.35	0.05	0.02	19	1.277777777777781	20.000000000000014	16.0	0.12003939909669567	6.399999999999993	3.0	0.2631834444480697	0.0	0.0	NaN	dead (regular)
ATPProduction (MAX) + glucoseUptake (MIN)	0.35	0.05	0.02	0	0.0	99.9999999999986	0.0	0.14186653137063554	0.0	0.0	NaN	0.0	0.0	NaN	alive
ATPProduction (MAX) + NADHProduction (MIN)	0.35	0.05	0.02	1	NaN	99.9999999999986	1.0	0.006083775657458524	0.0	0.0	NaN	0.0	0.0	NaN	alive
